,ward,diagnosis,Gross_Amount,# of Patient
4161,Mabatini Ward,Alcoholic gastritis - Gastritis and duodenitis,52390.0,1
4162,Mabatini Ward,Allergic contact dermatitis,29447.99,5
4163,Mabatini Ward,Allergic rhinitis - unspecified,32507.96,6
4164,Mabatini Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,11253.6,1
4165,Mabatini Ward,Amoebiasis,10966.720000000001,3
4166,Mabatini Ward,Anaemia - unspecified,7779.36,1
4167,Mabatini Ward,Asthma - unspecified,16155.52,2
4168,Mabatini Ward,Atopic dermatitis,8536.24,2
4169,Mabatini Ward,Bacterial infection - unspecified,6544.0,1
4170,Mabatini Ward,Bacterial pneumonia - unspecified,7453.44,1
4171,Mabatini Ward,Calculus of lower urinary tract,4275.52,1
4172,Mabatini Ward,Candidiasis of vulva and vagina - Candidiasis,4765.43,1
4173,Mabatini Ward,Cellulitis,3190.8,2
4174,Mabatini Ward,Cellulitis - unspecified,4460.44,1
4175,Mabatini Ward,Chest pain - unspecified,7223.79,1
4176,Mabatini Ward,Chronic atrophic gastritis - Gastritis and duodenitis,3973.6,1
4177,Mabatini Ward,Chronic nasopharyngitis - Chronic rhinitis,13642.08,3
4178,Mabatini Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,10097.6,2
4179,Mabatini Ward,Chronic rhinitis,4157.28,2
4180,Mabatini Ward,Contraceptive management,1984.0,1
4181,Mabatini Ward,Convulsions - not elsewhere classified,4402.56,1
4182,Mabatini Ward,Crushing injury of thumb and other finger(s) - Crushing injury of wrist and hand,3476.12,1
4183,Mabatini Ward,Crushing injury of wrist and hand,4918.88,1
4184,Mabatini Ward,Dental caries,67236.71,13
4185,Mabatini Ward,Dental caries - unspecified,2001.0,1
4186,Mabatini Ward,Dentofacial anomalies [including malocclusion],5395.8,1
4187,Mabatini Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,14766.56,1
4188,Mabatini Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,16451.36,4
4189,Mabatini Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,5258.72,2
4190,Mabatini Ward,Disorder of muscle - unspecified,18820.4,3
4191,Mabatini Ward,Disorders of tooth development and eruption,1560.0,1
4192,Mabatini Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,5941.6,1
4193,Mabatini Ward,Essential (primary) hypertension,66581.23,13
4194,Mabatini Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,2641.44,1
4195,Mabatini Ward,Excessive vomiting in pregnancy,5173.12,1
4196,Mabatini Ward,Fever of other and unknown origin,25765.5,5
4197,Mabatini Ward,Functional dyspepsia,5466.2,2
4198,Mabatini Ward,Gastritis - unspecified,84307.54000000001,18
4199,Mabatini Ward,Gastritis and duodenitis,11378.64,3
4200,Mabatini Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,8779.36,2
4201,Mabatini Ward,Gestational [pregnancy-induced] hypertension,4629.76,1
4202,Mabatini Ward,Gout,3608.8,1
4203,Mabatini Ward,Gout - unspecified,20785.75,5
4204,Mabatini Ward,Headache,2684.64,1
4205,Mabatini Ward,Heart disease - unspecified,4193.72,1
4206,Mabatini Ward,Herpes gestationis - Maternal care for other conditions predominantly related to pregnancy,501.0,1
4207,Mabatini Ward,Hyperlipidaemia - unspecified,3696.96,1
4208,Mabatini Ward,Hypertensive heart disease,32562.35,9
4209,Mabatini Ward,Hypothyroidism - unspecified,2041.6,1
4210,Mabatini Ward,Iron deficiency - Deficiency of other nutrient elements,5750.84,1
4211,Mabatini Ward,Low back pain - Dorsalgia,7584.639999999999,3
4212,Mabatini Ward,Lumbago with sciatica - Dorsalgia,62540.64,10
4213,Mabatini Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,2170.28,1
4214,Mabatini Ward,Multiple fractures of fingers - Fracture at wrist and hand level,657.44,1
4215,Mabatini Ward,Mumps,8632.8,2
4216,Mabatini Ward,Nausea and vomiting,6986.530000000001,2
4217,Mabatini Ward,Need for immunization against combinations of infectious diseases,18859.809999999998,4
4218,Mabatini Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,8211.04,2
4219,Mabatini Ward,Neuralgia and neuritis - unspecified,5507.4,1
4220,Mabatini Ward,Nonsuppurative otitis media,6375.84,2
4221,Mabatini Ward,Other abnormal uterine and vaginal bleeding,5876.0,2
4222,Mabatini Ward,Other chest pain - Pain in throat and chest,3579.24,1
4223,Mabatini Ward,Other noninfective gastroenteritis and colitis,4361.24,1
4224,Mabatini Ward,Other postsurgical states,4222.12,1
4225,Mabatini Ward,Other rheumatoid arthritis,7163.799999999999,2
4226,Mabatini Ward,Other specified diabetes mellitus,22025.35,5
4227,Mabatini Ward,Other specified noninfective gastroenteritis and colitis - Other noninfective gastroenteritis and colitis,10938.84,1
4228,Mabatini Ward,Other viral pneumonia - Viral pneumonia,6095.6,1
4229,Mabatini Ward,Plantar fascial fibromatosis - Fibroblastic disorders,3864.6,1
4230,Mabatini Ward,Poisoning: Anthelminthics - Poisoning by other systemic anti-infectives and antiparasitics,2056.32,1
4231,Mabatini Ward,Primary dysmenorrhoea - Pain and other conditions associated with female genital organs and menstrual cycle,1493.84,1
4232,Mabatini Ward,Pulpitis - Diseases of pulp and periapical tissues,13856.16,2
4233,Mabatini Ward,Recurrent oral aphthae - Stomatitis and related lesions,5362.48,1
4234,Mabatini Ward,Sciatica - Dorsalgia,3313.8,1
4235,Mabatini Ward,Sprain and strain of other and unspecified parts of knee - Dislocation,3728.32,1
4236,Mabatini Ward,Supervision of high-risk pregnancy,20079.48,2
4237,Mabatini Ward,Supervision of normal first pregnancy - Supervision of normal pregnancy,4240.0,1
4238,Mabatini Ward,Supervision of normal pregnancy,7727.08,2
4239,Mabatini Ward,Tinea corporis - Dermatophytosis,6922.56,1
4240,Mabatini Ward,Tinea pedis - Dermatophytosis,9945.6,1
4241,Mabatini Ward,Type 2 diabetes mellitus,1871.92,1
4242,Mabatini Ward,Unspecified acute lower respiratory infection,8535.42,2
4243,Mabatini Ward,Unspecified diabetes mellitus,30363.6,6
4244,Mabatini Ward,Urinary tract infection - site not specified,4757.16,2
4245,Mabatini Ward,Varicella [chickenpox],7334.4,2
4246,Makina Ward,Abdominal and pelvic pain,17057.28,2
4247,Makina Ward,Acne vulgaris - Acne,7929.6,1
4248,Makina Ward,Acute laryngitis - Acute laryngitis and tracheitis,19059.04,5
4249,Makina Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,2224.0,1
4250,Makina Ward,Acute nasopharyngitis [common cold],105591.91,26
4251,Makina Ward,Acute pharyngitis,54101.54,13
4252,Makina Ward,Acute pharyngitis - unspecified,3598.4,1
4253,Makina Ward,Acute pharyngitis due to other specified organisms - Acute pharyngitis,4725.12,1
4254,Makina Ward,Acute prostatitis - Inflammatory diseases of prostate,12974.14,1
4255,Makina Ward,Acute tonsillitis,126055.56,30
4256,Makina Ward,Acute tonsillitis - unspecified,19237.54,7
4257,Makina Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,9722.4,1
4258,Makina Ward,Acute upper respiratory infection - unspecified,58832.53,12
4259,Makina Ward,Acute upper respiratory infections of multiple and unspecified sites,1001.0,1
4260,Makina Ward,Acute vaginitis - Other inflammation of vagina and vulva,6377.0,1
4261,Makina Ward,Adenoviral pneumonia - Viral pneumonia,22298.379999999997,3
4262,Makina Ward,Alcoholic gastritis - Gastritis and duodenitis,3152.16,1
4263,Makina Ward,Allergic contact dermatitis,10103.68,5
4264,Makina Ward,Allergic rhinitis - unspecified,17913.04,5
4265,Makina Ward,Amoebiasis,11040.52,2
4266,Makina Ward,Anaemia - unspecified,1717.8,1
4267,Makina Ward,Antenatal screening,16375.32,3
4268,Makina Ward,Arrested dental caries - Dental caries,5947.36,2
4269,Makina Ward,Asthma,15595.68,2
4270,Makina Ward,Asthma - unspecified,32142.46,4
4271,Makina Ward,Atopic dermatitis,492.8,1
4272,Makina Ward,Bacterial infection - unspecified,2247.68,1
4273,Makina Ward,Benign neoplasm: Tonsil - Benign neoplasm of mouth and pharynx,10185.07,2
4274,Makina Ward,Calcaneal spur - Other enthesopathies,3673.44,1
4275,Makina Ward,Calculus of lower urinary tract,13426.32,2
4276,Makina Ward,Calculus of lower urinary tract - unspecified,7075.97,1
4277,Makina Ward,Candidiasis,16638.03,1
4278,Makina Ward,Carcinoma in situ: Eye - Carcinoma in situ of other and unspecified sites,1646.4,1
4279,Makina Ward,Cellulitis,2754.44,1
4280,Makina Ward,Chronic gastritis - unspecified,1000.0,1
4281,Makina Ward,Chronic nasopharyngitis - Chronic rhinitis,6969.6,1
4282,Makina Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,8256.48,1
4283,Makina Ward,Chronic rhinitis,4364.48,1
4284,Makina Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,12873.28,2
4285,Makina Ward,Conjunctivitis,14206.24,2
4286,Makina Ward,Contusion of elbow - Superficial injury of forearm,1000.0,1
4287,Makina Ward,Cough,22995.489999999998,3
4288,Makina Ward,Cutaneous abscess - furuncle and carbuncle,14368.64,2
4289,Makina Ward,Dental caries,66627.88,17
4290,Makina Ward,Dental caries - unspecified,15274.98,3
4291,Makina Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,12977.920000000002,2
4292,Makina Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,8356.32,1
4293,Makina Ward,Disorder of muscle - unspecified,3500.96,1
4294,Makina Ward,Disorders of tooth development and eruption,7741.13,1
4295,Makina Ward,Endometriosis,1678.72,1
4296,Makina Ward,Essential (primary) hypertension,36365.61,7
4297,Makina Ward,Fever - unspecified,1386.92,1
4298,Makina Ward,Fever of other and unknown origin,3900.8,1
4299,Makina Ward,Fibroadenosis of breast - Benign mammary dysplasia,7646.4,1
4300,Makina Ward,Functional dyspepsia,39370.78,5
4301,Makina Ward,Gastritis - unspecified,61999.5,12
4302,Makina Ward,Gastritis and duodenitis,24052.48,5
4303,Makina Ward,Gastro-oesophageal reflux disease,2000.0,1
4304,Makina Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,8238.560000000001,2
4305,Makina Ward,Headache,9650.119999999999,2
4306,Makina Ward,Hypertensive heart disease,45814.96,7
4307,Makina Ward,Hypothyroidism - unspecified,3087.0,1
4308,Makina Ward,Impacted cerumen - Other disorders of external ear,14063.619999999999,2
4309,Makina Ward,Injury of urethra - Injury of urinary and pelvic organs,4691.36,1
4310,Makina Ward,Leiomyoma of uterus,12753.580000000002,2
4311,Makina Ward,Lumbago with sciatica - Dorsalgia,17316.84,5
4312,Makina Ward,Malignant neoplasm: Connective and soft tissue - unspecified,3481.96,1
4313,Makina Ward,Migraine,6674.33,1
4314,Makina Ward,Mumps,6634.6,1
4315,Makina Ward,Myalgia - Other soft tissue disorders,2899.0,1
4316,Makina Ward,Need for immunization against combinations of infectious diseases,6264.0,1
4317,Makina Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,4856.84,1
4318,Makina Ward,Nonsuppurative otitis media,1312.48,1
4319,Makina Ward,Other abnormal uterine and vaginal bleeding,4796.92,2
4320,Makina Ward,Other disorders of breast,3450.56,1
4321,Makina Ward,Other disorders of urinary system,3033.92,1
4322,Makina Ward,Other iron deficiency anaemias - Iron deficiency anaemia,5551.0,1
4323,Makina Ward,Other secondary hypertension - Secondary hypertension,6800.72,2
4324,Makina Ward,Other special examinations and investigations of persons without complaint or reported diagnosis,1000.0,1
4325,Makina Ward,Other specified diabetes mellitus,10964.5,3
4326,Makina Ward,Other superficial mycoses,10078.44,2
4327,Makina Ward,Other urethritis - Urethritis and urethral syndrome,2778.56,1
4328,Makina Ward,Other viral pneumonia - Viral pneumonia,3171.68,1
4329,Makina Ward,Pulpitis - Diseases of pulp and periapical tissues,4228.68,2
4330,Makina Ward,Supervision of normal pregnancy,22474.02,3
4331,Makina Ward,Tinea corporis - Dermatophytosis,9380.4,3
4332,Makina Ward,Type 2 diabetes mellitus,18683.8,4
4333,Makina Ward,Unspecified diabetes mellitus,18978.81,6
4334,Makina Ward,Urinary tract infection - site not specified,2685.6,1
4335,Makina Ward,Varicose veins of lower extremities,4031.8,2
4336,Makongeni Ward,Abdominal and pelvic pain,4691.68,1
4337,Makongeni Ward,Acne vulgaris - Acne,4412.64,1
4338,Makongeni Ward,Acute bronchitis,6228.16,1
4339,Makongeni Ward,Acute laryngitis - Acute laryngitis and tracheitis,10797.76,1
4340,Makongeni Ward,Acute laryngitis and tracheitis,11363.2,2
4341,Makongeni Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,10563.68,2
4342,Makongeni Ward,Acute nasopharyngitis [common cold],144983.95,32
4343,Makongeni Ward,Acute pharyngitis,44278.1,13
4344,Makongeni Ward,Acute pharyngitis - unspecified,9942.880000000001,2
4345,Makongeni Ward,Acute tonsillitis,127924.89,25
4346,Makongeni Ward,Acute tonsillitis - unspecified,6595.360000000001,3
4347,Makongeni Ward,Acute upper respiratory infection - unspecified,57339.22,12
4348,Makongeni Ward,Adenoviral pneumonia - Viral pneumonia,2847.04,1
4349,Makongeni Ward,Alcoholic gastritis - Gastritis and duodenitis,4185.27,1
4350,Makongeni Ward,Allergic contact dermatitis,28624.2,7
4351,Makongeni Ward,Allergic rhinitis - unspecified,25271.97,6
4352,Makongeni Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,3779.84,1
4353,Makongeni Ward,Alopecia areata,5931.2,1
4354,Makongeni Ward,Amoebiasis,4990.66,1
4355,Makongeni Ward,Anaemia - unspecified,2000.0,1
4356,Makongeni Ward,Antenatal screening,13109.64,5
4357,Makongeni Ward,Asthma,12150.88,2
4358,Makongeni Ward,Asthma - unspecified,14195.539999999999,3
4359,Makongeni Ward,Atopic dermatitis,14331.099999999999,5
4360,Makongeni Ward,Benign lipomatous neoplasm,1001.0,1
4361,Makongeni Ward,Benign neoplasm: Tonsil - Benign neoplasm of mouth and pharynx,2775.78,1
4362,Makongeni Ward,Calculus of lower urinary tract,2664.32,1
4363,Makongeni Ward,Cervical disc disorders,4495.6,1
4364,Makongeni Ward,Chronic conjunctivitis - Conjunctivitis,3016.0,1
4365,Makongeni Ward,Chronic gastritis - unspecified,11821.84,2
4366,Makongeni Ward,Chronic nasopharyngitis - Chronic rhinitis,13950.78,1
4367,Makongeni Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,10292.64,2
4368,Makongeni Ward,Conjunctivitis,7581.0,1
4369,Makongeni Ward,Convulsions - not elsewhere classified,5667.360000000001,2
4370,Makongeni Ward,Cough,7974.88,2
4371,Makongeni Ward,Crushing injuries involving multiple body regions,7861.12,1
4372,Makongeni Ward,Cutaneous abscess - furuncle and carbuncle,3075.7200000000003,2
4373,Makongeni Ward,Dental caries,65773.55,12
4374,Makongeni Ward,Dental caries - unspecified,21069.2,3
4375,Makongeni Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,3919.84,2
4376,Makongeni Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,6975.2,2
4377,Makongeni Ward,Disease of upper respiratory tract - unspecified,4923.48,1
4378,Makongeni Ward,Disorders of tooth development and eruption,5568.26,1
4379,Makongeni Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,12094.74,1
4380,Makongeni Ward,Essential (primary) hypertension,25165.120000000003,5
4381,Makongeni Ward,Excessive vomiting in pregnancy,3116.79,1
4382,Makongeni Ward,Female pelvic inflammatory disease - unspecified,1060.0,1
4383,Makongeni Ward,Fever - unspecified,6742.4,1
4384,Makongeni Ward,Fever of other and unknown origin,8742.16,2
4385,Makongeni Ward,Functional dyspepsia,42774.09,8
4386,Makongeni Ward,Gastritis - unspecified,76516.35,18
4387,Makongeni Ward,Gastritis and duodenitis,18010.7,5
4388,Makongeni Ward,Gastroduodenitis - unspecified,7705.44,1
4389,Makongeni Ward,General medical examination - General examination and investigation of persons without complaint and reported diagnosis,15593.6,1
4390,Makongeni Ward,Gout - unspecified,10181.66,2
4391,Makongeni Ward,Headache,13284.44,2
4392,Makongeni Ward,Hypertensive heart disease,31542.23,9
4393,Makongeni Ward,Impacted cerumen - Other disorders of external ear,3010.4,1
4394,Makongeni Ward,Infections of other parts of urinary tract in pregnancy - Infections of genitourinary tract in pregnancy,6777.88,1
4395,Makongeni Ward,Leukoplakia and other disturbances of oral epithelium - including tongue,2968.3,1
4396,Makongeni Ward,Low back pain - Dorsalgia,14672.74,2
4397,Makongeni Ward,Lumbago with sciatica - Dorsalgia,26371.8,5
4398,Makongeni Ward,Lumbar and other intervertebral disc disorders with radiculopathy - Other intervertebral disc disorders,815.36,1
4399,Makongeni Ward,Migraine,3840.2,1
4400,Makongeni Ward,Mononeuropathy - unspecified,7196.95,1
4401,Makongeni Ward,Multiple open wounds - unspecified,2397.0,1
4402,Makongeni Ward,Mumps,5809.44,1
4403,Makongeni Ward,Nausea and vomiting,7626.39,1
4404,Makongeni Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,15052.16,1
4405,Makongeni Ward,Nonpurulent mastitis associated with childbirth - Infections of breast associated with childbirth,2000.0,1
4406,Makongeni Ward,Nonspecific urethritis - Urethritis and urethral syndrome,5536.0,1
4407,Makongeni Ward,Nonsuppurative otitis media,5476.08,2
4408,Makongeni Ward,Open wound of knee - Open wound of lower leg,4387.92,1
4409,Makongeni Ward,Other abnormal uterine and vaginal bleeding,660.0,1
4410,Makongeni Ward,Other acute nonsuppurative otitis media - Nonsuppurative otitis media,6341.28,1
4411,Makongeni Ward,Other specified diabetes mellitus,4230.4,2
4412,Makongeni Ward,Other specified urinary incontinence - Other disorders of urinary system,4487.68,1
4413,Makongeni Ward,Pneumonia in mycoses - Pneumonia in diseases classified elsewhere,5232.16,1
4414,Makongeni Ward,Pruritus - unspecified,2180.48,1
4415,Makongeni Ward,Pulpitis - Diseases of pulp and periapical tissues,24976.260000000002,4
4416,Makongeni Ward,Rash and other nonspecific skin eruption,788.36,1
4417,Makongeni Ward,Recurrent oral aphthae - Stomatitis and related lesions,4223.36,1
4418,Makongeni Ward,Retained dental root - Other disorders of teeth and supporting structures,1000.0,1
4419,Makongeni Ward,Sciatica - Dorsalgia,2000.0,2
4420,Makongeni Ward,Supervision of high-risk pregnancy,1428.0,1
4421,Makongeni Ward,Supervision of high-risk pregnancy - unspecified,8256.32,1
4422,Makongeni Ward,Tinea corporis - Dermatophytosis,15267.32,4
4423,Makongeni Ward,Type 2 diabetes mellitus,13398.279999999999,3
4424,Makongeni Ward,Unspecified diabetes mellitus,36116.37,5
4425,Makongeni Ward,Urinary tract infection - site not specified,3619.38,1
4426,Makongeni Ward,Varicella [chickenpox],12212.36,2
4427,Maringo/hamza Ward,Abdominal and pelvic pain,4648.96,1
4428,Maringo/hamza Ward,Abdominal pregnancy - Ectopic pregnancy,10022.72,1
4429,Maringo/hamza Ward,Acne vulgaris - Acne,1000.0,1
4430,Maringo/hamza Ward,Acute conjunctivitis - unspecified,1078.4,1
4431,Maringo/hamza Ward,Acute gingivitis - Gingivitis and periodontal diseases,7113.34,1
4432,Maringo/hamza Ward,Acute laryngitis - Acute laryngitis and tracheitis,12598.560000000001,2
4433,Maringo/hamza Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,5156.32,2
4434,Maringo/hamza Ward,Acute nasopharyngitis [common cold],115596.35,27
4435,Maringo/hamza Ward,Acute pancreatitis,4392.48,1
4436,Maringo/hamza Ward,Acute pharyngitis,43329.94,11
4437,Maringo/hamza Ward,Acute tonsillitis,86577.79,17
4438,Maringo/hamza Ward,Acute tonsillitis - unspecified,13281.24,2
4439,Maringo/hamza Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,13678.84,2
4440,Maringo/hamza Ward,Acute upper respiratory infection - unspecified,56828.75,17
4441,Maringo/hamza Ward,Acute upper respiratory infections of multiple and unspecified sites,34450.61,5
4442,Maringo/hamza Ward,Acute vaginitis - Other inflammation of vagina and vulva,1816.0,1
4443,Maringo/hamza Ward,Acute vulvitis - Other inflammation of vagina and vulva,7597.91,1
4444,Maringo/hamza Ward,Adenoviral pneumonia - Viral pneumonia,9807.67,1
4445,Maringo/hamza Ward,Alcoholic gastritis - Gastritis and duodenitis,10884.56,2
4446,Maringo/hamza Ward,Allergic contact dermatitis,1833.28,1
4447,Maringo/hamza Ward,Allergic rhinitis - unspecified,18882.38,4
4448,Maringo/hamza Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,9479.36,2
4449,Maringo/hamza Ward,Amoebiasis,4437.8,2
4450,Maringo/hamza Ward,Amoebiasis - unspecified,9622.72,3
4451,Maringo/hamza Ward,Antenatal screening,4016.0,1
4452,Maringo/hamza Ward,Arrested dental caries - Dental caries,5000.0,1
4453,Maringo/hamza Ward,Asthma - unspecified,4155.84,1
4454,Maringo/hamza Ward,Asymptomatic neurosyphilis - Late syphilis,4867.0,1
4455,Maringo/hamza Ward,Atopic dermatitis,10262.2,4
4456,Maringo/hamza Ward,Bacterial pneumonia - unspecified,1460.0,1
4457,Maringo/hamza Ward,Calculus of lower urinary tract,15510.869999999999,4
4458,Maringo/hamza Ward,Calculus of lower urinary tract - unspecified,1964.54,1
4459,Maringo/hamza Ward,Cervical disc disorders,10526.72,1
4460,Maringo/hamza Ward,Chronic gastritis - unspecified,8299.720000000001,2
4461,Maringo/hamza Ward,Chronic mucoid otitis media - Nonsuppurative otitis media,7037.92,1
4462,Maringo/hamza Ward,Chronic nasopharyngitis - Chronic rhinitis,36533.92,9
4463,Maringo/hamza Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,5730.1,1
4464,Maringo/hamza Ward,Chronic rhinitis,36853.56,3
4465,Maringo/hamza Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,9099.44,1
4466,Maringo/hamza Ward,Contusion of shoulder and upper arm - Superficial injury of shoulder and upper arm,1440.16,1
4467,Maringo/hamza Ward,Dental caries,75004.4,15
4468,Maringo/hamza Ward,Dental caries - unspecified,8190.64,1
4469,Maringo/hamza Ward,Dermatophytosis,2032.56,1
4470,Maringo/hamza Ward,Diabetes insipidus - Hypofunction and other disorders of pituitary gland,9385.28,1
4471,Maringo/hamza Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,34127.28,3
4472,Maringo/hamza Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,78942.43,3
4473,Maringo/hamza Ward,Disruption of caesarean section wound - Complications of the puerperium,4032.0,1
4474,Maringo/hamza Ward,Eczema herpeticum - Herpesviral [herpes simplex] infections,6037.12,1
4475,Maringo/hamza Ward,Essential (primary) hypertension,52721.31,13
4476,Maringo/hamza Ward,Fever of other and unknown origin,7653.75,1
4477,Maringo/hamza Ward,Fibroadenosis of breast - Benign mammary dysplasia,3361.0,1
4478,Maringo/hamza Ward,Fibromyalgia - Other soft tissue disorders,5765.44,2
4479,Maringo/hamza Ward,Fracture at wrist and hand level,2851.36,1
4480,Maringo/hamza Ward,Functional dyspepsia,17200.64,5
4481,Maringo/hamza Ward,Gastric ulcer,5608.11,1
4482,Maringo/hamza Ward,Gastritis - unspecified,84281.12,18
4483,Maringo/hamza Ward,Gastritis and duodenitis,147199.46,5
4484,Maringo/hamza Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,3309.6,1
4485,Maringo/hamza Ward,General examination and investigation of persons without complaint and reported diagnosis,2304.4,1
4486,Maringo/hamza Ward,Gout,12201.04,2
4487,Maringo/hamza Ward,Gout - unspecified,11758.24,2
4488,Maringo/hamza Ward,Headache,6963.84,3
4489,Maringo/hamza Ward,Herpes gestationis - Maternal care for other conditions predominantly related to pregnancy,3291.52,1
4490,Maringo/hamza Ward,Hyperlipidaemia - unspecified,3864.4,1
4491,Maringo/hamza Ward,Hyperplasia of prostate,12381.3,3
4492,Maringo/hamza Ward,Hypertensive heart disease,34513.78,8
4493,Maringo/hamza Ward,Hypoparathyroidism,200000.0,1
4494,Maringo/hamza Ward,Impetigo,5477.36,1
4495,Maringo/hamza Ward,Internal derangement of knee - unspecified,2537.76,1
4496,Maringo/hamza Ward,Lumbago with sciatica - Dorsalgia,37622.08,7
4497,Maringo/hamza Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,1937.8,1
4498,Maringo/hamza Ward,Multiple open wounds of ankle and foot - Open wound of ankle and foot,13820.6,1
4499,Maringo/hamza Ward,Mumps,15012.68,3
4500,Maringo/hamza Ward,Nausea and vomiting,2101.12,1
4501,Maringo/hamza Ward,Need for immunization against combinations of infectious diseases,10625.28,1
4502,Maringo/hamza Ward,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,6891.84,2
4503,Maringo/hamza Ward,Nonsuppurative otitis media,1646.4,1
4504,Maringo/hamza Ward,Other allergic rhinitis - Vasomotor and allergic rhinitis,4704.96,1
4505,Maringo/hamza Ward,Other dental caries - Dental caries,4169.28,1
4506,Maringo/hamza Ward,Other rheumatoid arthritis,12457.5,2
4507,Maringo/hamza Ward,Other specified diabetes mellitus,7776.0,2
4508,Maringo/hamza Ward,Other specified rheumatoid arthritis - Other rheumatoid arthritis,7042.88,1
4509,Maringo/hamza Ward,Other urethritis - Urethritis and urethral syndrome,3492.0,1
4510,Maringo/hamza Ward,Polyneuropathy - unspecified,10201.0,1
4511,Maringo/hamza Ward,Pulpitis - Diseases of pulp and periapical tissues,7018.27,2
4512,Maringo/hamza Ward,Pyonephrosis - Obstructive and reflux uropathy,560.0,1
4513,Maringo/hamza Ward,Rash and other nonspecific skin eruption,2980.2,1
4514,Maringo/hamza Ward,Recurrent oral aphthae - Stomatitis and related lesions,5325.1,1
4515,Maringo/hamza Ward,Sciatica - Dorsalgia,2144.8,1
4516,Maringo/hamza Ward,Supervision of high-risk pregnancy - unspecified,6828.08,1
4517,Maringo/hamza Ward,Tinea corporis - Dermatophytosis,32027.079999999998,7
4518,Maringo/hamza Ward,Type 2 diabetes mellitus,11405.8,2
4519,Maringo/hamza Ward,Unspecified acute lower respiratory infection,4558.12,1
4520,Maringo/hamza Ward,Unspecified diabetes mellitus,4228.9,2
4521,Maringo/hamza Ward,Urinary tract infection - site not specified,2101.12,1
4522,Maringo/hamza Ward,Varicose veins of lower extremities,3050.6,1
4523,Mathare North Ward,Abdominal and pelvic pain,17196.260000000002,3
4524,Mathare North Ward,Acne,3994.88,1
4525,Mathare North Ward,Acute atopic conjunctivitis - Conjunctivitis,3325.0,1
4526,Mathare North Ward,Acute laryngitis - Acute laryngitis and tracheitis,19361.77,5
4527,Mathare North Ward,Acute laryngitis and tracheitis,6862.08,1
4528,Mathare North Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,18793.28,3
4529,Mathare North Ward,Acute myringitis - Other disorders of tympanic membrane,2224.0,1
4530,Mathare North Ward,Acute nasopharyngitis [common cold],160582.17,31
4531,Mathare North Ward,Acute pharyngitis,34152.99,9
4532,Mathare North Ward,Acute sinusitis,6246.4400000000005,2
4533,Mathare North Ward,Acute tonsillitis,129489.21,28
4534,Mathare North Ward,Acute tonsillitis - unspecified,7874.6,3
4535,Mathare North Ward,Acute upper respiratory infection - unspecified,37010.5,9
